region;states;;
New England;Maine;;
New England;Massachusetts;;
New England;New Hampshire;;
New England;Rhode Island;;
New England;Vermont;;
New England;Connecticut;;
Mid-Atlantic;New Jersey;;
Mid-Atlantic;New York;;
Mid-Atlantic;Pennsylvania;;
East North Central;Wisconsin;;
East North Central;Ohio;;
East North Central;Michigan;;
East North Central;Indiana;;
East North Central;Illinois;;
West North Central;South Dakota;;
West North Central;North Dakota;;
West North Central;Nebraska;;
West North Central;Missouri;;
West North Central;Minnesota;;
West North Central;Kansas;;
West North Central;Iowa;;
South Atlantic;West Virginia;;
South Atlantic;District of Columbia;;
South Atlantic;Virginia;;
South Atlantic;South Carolina;;
South Atlantic;North Carolina;;
South Atlantic;Maryland;;
South Atlantic;Delaware;;
South Atlantic;Florida;;
South Atlantic;Georgia;;
East South Central;Tennessee;;
East South Central;Mississippi;;
East South Central;Kentucky;;
East South Central;Alabama;;
West South Central;Texas;;
West South Central;Oklahoma;;
West South Central;Louisiana;;
West South Central;Arkansas;;
Mountain;Wyoming;;
Mountain;Arizona;;
Mountain;Colorado;;
Mountain;Utah;;
Mountain;New Mexico;;
Mountain;Nevada;;
Mountain;Idaho;;
Mountain;Montana;;
Pacific;Washington;;
Pacific;Hawaii;;
Pacific;Oregon;;
Pacific;Alaska;;
Pacific;California;;
